location,population,percent_of_world,date_updated
India,1413324000,17.3%,1 Mar 2025
China,1408280000,17.2%,31 Dec 2024
United States,340110988,4.2%,1 Jul 2024
Indonesia,282477584,3.5%,30 Jun 2024
Pakistan,241499431,3.0%,1 Mar 2023
Nigeria,223800000,2.7%,1 Jul 2023
Brazil,212583750,2.6%,1 Jul 2024
Bangladesh,169828911,2.1%,14 Jun 2022
Russia,146028325,1.8%,1 Jan 2025
Mexico,130417144,1.6%,31 Mar 2025
Japan,123340000,1.5%,1 May 2025
Philippines,114123600,1.4%,1 Jul 2025
Ethiopia,109499000,1.3%,1 Jul 2024
Democratic Republic of the Congo,109276000,1.3%,1 Jul 2024
Egypt,107271260,1.3%,1 Jan 2025
Vietnam,101343800,1.2%,31 Dec 2024
Iran,85961000,1.1%,20 Mar 2024
Turkey,85664944,1.0%,31 Dec 2024
Germany,83555478,1.0%,30 Sep 2024
France,68633000,0.8%,1 May 2025
United Kingdom,68265209,0.8%,1 Jul 2023
Tanzania,66278276,0.8%,1 Jul 2024
Thailand,65893593,0.8%,31 Apr 2025
South Africa,63015904,0.8%,30 Jul 2024
Italy,58922192,0.7%,28 Feb 2025
Colombia,52695952,0.6%,1 Jan 2024
Kenya,52428290,0.6%,1 Jul 2024
Myanmar,51316756,0.6%,15 Oct 2024
South Korea,51175725,0.6%,31 Apr 2025
Sudan,50448963,0.6%,1 Jul 2024
Spain,49153849,0.6%,1 Apr 2025
Algeria,47400000,0.6%,1 Jan 2025
Argentina,47067641,0.6%,1 Jul 2024
Uganda,45905417,0.6%,10 May 2024
Iraq,44414800,0.5%,1 Jul 2024
Afghanistan,42045000,0.5%,1 Jul 2024
Canada,41528680,0.5%,1 Jan 2025
Uzbekistan,37697787,0.5%,1 Apr 2025
Poland,37437000,0.5%,31 Mar 2025
Morocco,36828330,0.5%,1 Sep 2024
Saudi Arabia,35300280,0.4%,1 Jul 2024
Angola,35121734,0.4%,1 Jun 2024
Malaysia,34192800,0.4%,31 Mar 2025
Peru,34038457,0.4%,1 Jul 2024
Mozambique,33244414,0.4%,1 Jul 2024
Ghana,33007618,0.4%,1 Jul 2024
Ukraine,32862000,0.4%,1 Apr 2025
Yemen,32684503,0.4%,1 Jul 2023
Madagascar,30811969,0.4%,1 Jul 2024
Ivory Coast,29389150,0.4%,14 Dec 2021
Nepal,29164578,0.4%,25 Nov 2021
Cameroon,28758503,0.4%,1 Jul 2024
Venezuela,28405543,0.3%,1 Jul 2024
Australia,27309396,0.3%,30 Sep 2024
Niger,26312034,0.3%,1 Jul 2024
North Korea,25950000,0.3%,1 Jul 2024
Syria,24672760,0.3%,1 Jul 2024
Burkina Faso,23409015,0.3%,1 Jul 2024
Taiwan,23365274,0.3%,30 Apr 2025
Mali,22395489,0.3%,15 Jun 2022
Sri Lanka,21763170,0.3%,24 Mar 2025
Kazakhstan,20333530,0.2%,1 Apr 2025
Malawi,20270568,0.2%,1 Jul 2024
Chile,20086377,0.2%,30 Jun 2024
Zambia,19610769,0.2%,14 Sep 2022
Romania,19064409,0.2%,1 Jan 2024
Somalia,19009151,0.2%,1 Jul 2024
Chad,18675547,0.2%,1 Jul 2024
Senegal,18126390,0.2%,15 May 2023
Netherlands,18073424,0.2%,30 Apr 2025
Guatemala,17843132,0.2%,1 Jul 2024
Cambodia,17336307,0.2%,1 Jul 2024
Ecuador,16938986,0.2%,1 Oct 2022
Zimbabwe,16751469,0.2%,1 Jul 2024
South Sudan,15254268,0.2%,1 Jul 2023
Guinea,14363931,0.2%,1 Jul 2025
Rwanda,13798561,0.2%,1 Jul 2024
Benin,12910087,0.2%,1 Jul 2024
Burundi,12837740,0.2%,1 Jul 2022
Tunisia,11972169,0.1%,6 Nov 2024
Haiti,11867032,0.1%,1 Jul 2024
Belgium,11812354,0.1%,1 Jan 2025
Papua New Guinea,11781559,0.1%,1 Jul 2021
Jordan,11734000,0.1%,31 Dec 2024
Bolivia,11312620,0.1%,23 Mar 2024
Cuba,11089511,0.1%,31 Dec 2022
Czech Republic,10909500,0.1%,31 Dec 2024
Dominican Republic,10771504,0.1%,10 Nov 2022
United Arab Emirates,10678556,0.1%,31 Dec 2023
Portugal,10639726,0.1%,31 Dec 2023
Sweden,10587696,0.1%,31 Mar 2025
Greece,10400720,0.1%,1 Jan 2024
Tajikistan,10277100,0.1%,1 Jan 2024
Azerbaijan,10233142,0.1%,1 Apr 2025
Israel,10053500,0.1%,31 Mar 2025
